lat,lon,first_crossing_year
-89.05759162303664,126.25,2041.0
-89.05759162303664,127.5,2041.0
-89.05759162303664,128.75,2041.0
-89.05759162303664,130.0,2041.0
-89.05759162303664,131.25,2041.0
-89.05759162303664,132.5,2041.0
-89.05759162303664,133.75,2041.0
-89.05759162303664,135.0,2041.0
-89.05759162303664,136.25,2041.0
-89.05759162303664,137.5,2041.0
-89.05759162303664,138.75,2041.0
-89.05759162303664,140.0,2041.0
-89.05759162303664,141.25,2041.0
-89.05759162303664,142.5,2041.0
-89.05759162303664,143.75,2041.0
-89.05759162303664,145.0,2041.0
-89.05759162303664,146.25,2041.0
-89.05759162303664,147.5,2041.0
